date,min,max,pm25,q1,q3,stdev,count
2019-12-09T00:00:00.000Z,0.52,42,15.76,14,17.73,5.01,314
2019-12-10T00:00:00.000Z,0.62,5.15,1.65,1.1,2.15,0.725,405
2019-12-11T00:00:00.000Z,1.28,34.7,3.71,2.85,5.25,2.403,418
2019-12-12T00:00:00.000Z,4.23,28.05,8.97,7.07,18.07,5.665,488
2019-12-13T00:00:00.000Z,10.11,42.95,15.65,13.19,17.6,3.569,527
2019-12-14T00:00:00.000Z,0.3,30.3,3.65,0.78,5.84,4.45,395
2019-12-15T00:00:00.000Z,0.78,38.53,7.29,3.25,11.88,5.219,566
2019-12-16T00:00:00.000Z,9.03,40.78,21.67,12.76,27.23,7.703,284
2019-12-17T00:00:00.000Z,13.98,44.96,22.29,18.25,25.75,5.222,226
2019-12-20T00:00:00.000Z,0.3,19.89,1.69,1.36,2.5,4.674,368
2019-12-21T00:00:00.000Z,0.22,11.54,1.55,0.87,3.56,2.102,557
2019-12-22T00:00:00.000Z,1.35,34.24,5.75,3.73,7.85,3.734,571
2019-12-23T00:00:00.000Z,0.2,22.62,0.6,0.44,1.11,2.335,576
2019-12-24T00:00:00.000Z,0.15,15.32,0.8,0.46,1.63,1.806,575
2019-12-25T00:00:00.000Z,0.2,13.39,0.72,0.55,1.06,1.77,577
2019-12-26T00:00:00.000Z,0.35,15.52,0.9,0.65,2.52,2.153,575
2019-12-27T00:00:00.000Z,0.35,6.42,1.57,1.14,2.09,1.012,580
2019-12-28T00:00:00.000Z,0.2,46.46,0.9,0.48,1.28,2.533,575
2019-12-29T00:00:00.000Z,0.45,6.58,1.27,0.75,3.12,1.626,574
2019-12-30T00:00:00.000Z,5.57,25.55,9.16,7.48,13.25,3.569,571
2019-12-31T00:00:00.000Z,0.95,20.87,5.22,2.86,15.43,6.147,558
2020-01-01T00:00:00.000Z,1.7,18.57,4.13,3.16,11.1,4.559,571
2020-01-02T00:00:00.000Z,8.65,41.11,17.62,12.38,25.26,7.362,556
2020-01-03T00:00:00.000Z,5.4,45.83,32.4,29.9,35.33,5.695,538
2020-01-04T00:00:00.000Z,0.28,6.8,1.65,1.1,2.5,1.248,554
2020-01-05T00:00:00.000Z,0.22,52.68,0.95,0.6,1.86,3.231,557
2020-01-06T00:00:00.000Z,0.9,14.22,2.25,1.64,4.41,3.016,513
2020-01-07T00:00:00.000Z,5.04,29.24,10.65,9.11,12.07,3.219,506
2020-01-08T00:00:00.000Z,1.6,51.7,12.05,5.44,21.46,9.325,496
2020-01-09T00:00:00.000Z,26.55,44.4,34.42,32.13,38.4,3.679,516
2020-01-10T00:00:00.000Z,3.12,81.65,58.02,51.21,63.94,10.262,420
2020-01-11T00:00:00.000Z,0.34,8.64,2,0.92,3.26,1.928,519
2020-01-12T00:00:00.000Z,1.02,24.42,6.84,3.49,10.46,5.723,553
2020-01-13T00:00:00.000Z,4.15,40.32,16.18,10.31,29.03,9.897,488
2020-01-14T00:00:00.000Z,16.62,32.36,21.92,19.53,26.35,4.088,432
2020-01-15T00:00:00.000Z,13.96,38.19,23.38,18.63,26.97,5.674,449
2020-01-16T00:00:00.000Z,21.58,40.47,30.96,28.98,32.61,3.486,475
2020-01-17T00:00:00.000Z,15.73,40.34,22.19,20.07,31.65,6.544,467
2020-01-18T00:00:00.000Z,10.88,35.45,16.07,14.3,18.59,4.18,492
2020-01-19T00:00:00.000Z,2.31,21.7,9.66,8.05,13.23,3.824,460
2020-01-20T00:00:00.000Z,2.46,23.7,11.78,9.34,16.39,4.755,355
2020-01-21T00:00:00.000Z,11.16,39.15,28.99,15.68,32.7,8.353,450
2020-01-22T00:00:00.000Z,25.9,31.57,27.82,26.98,28.6,1.384,15
2020-01-23T00:00:00.000Z,6.7,21.1,12.73,9.61,15.14,3.265,88
2020-01-24T00:00:00.000Z,16.39,41.23,27.74,25.28,30.68,5.72,235
2020-01-25T00:00:00.000Z,18.55,43.05,32.53,28.28,35.78,5.538,297
2020-01-26T00:00:00.000Z,13.1,57.26,19.97,17.57,22.2,5.996,307
2020-01-27T00:00:00.000Z,13.54,31.14,19.05,17.36,21.13,3.962,256
2020-01-28T00:00:00.000Z,0.15,23.56,18.41,0.6,19.67,8.587,272
2020-01-29T00:00:00.000Z,0.08,16.11,0.45,0.25,0.8,1.199,312
2020-01-30T00:00:00.000Z,0.33,30.76,1.04,0.82,4.08,3.893,295
2020-01-31T00:00:00.000Z,0.05,9.61,0.65,0.3,1.38,1.617,286
2020-02-01T00:00:00.000Z,0.08,16.39,0.4,0.2,0.92,2.154,326
2020-02-02T00:00:00.000Z,0,3.3,0.34,0.18,0.6,0.443,336
2020-02-03T00:00:00.000Z,0.03,7.06,0.35,0.22,0.56,0.73,318
2020-02-04T00:00:00.000Z,0.06,4.09,0.55,0.15,0.78,0.741,257
2020-02-05T00:00:00.000Z,0.1,2.72,0.6,0.31,0.75,0.385,237
2020-02-06T00:00:00.000Z,0.4,5.62,1.21,0.67,3.4,1.47,235
2020-02-07T00:00:00.000Z,2.75,23.84,6.49,3.63,12.21,4.693,128
2020-02-08T00:00:00.000Z,6.25,36,10.76,8.94,13.68,3.769,200
2020-02-09T00:00:00.000Z,9,35.11,15.25,12.3,16.89,3.265,361
2020-02-10T00:00:00.000Z,0.22,26.47,1.5,0.6,12.32,6.526,360
2020-02-11T00:00:00.000Z,0,4.09,0.5,0.28,0.7,0.54,368
2020-02-12T00:00:00.000Z,0.1,19.57,0.62,0.35,0.85,1.661,319
2020-02-13T00:00:00.000Z,0.1,11.88,0.9,0.51,2.9,2.543,377
2020-02-14T00:00:00.000Z,0.1,17.63,0.53,0.35,1.54,1.708,390
2020-02-15T00:00:00.000Z,0.6,10.26,3.2,1.3,6.03,2.577,331
2020-02-16T00:00:00.000Z,1.95,7.86,5.55,4.05,6.18,1.393,379
2020-02-17T00:00:00.000Z,5.23,31.64,11.17,9.11,14.42,3.757,349
2020-02-18T00:00:00.000Z,0.21,5.7,0.69,0.42,0.95,0.787,306
