date,min,max,pm25,q1,q3,stdev,count
2019-12-09T00:00:00.000Z,0.6,6.4,4.23,3.75,4.76,0.838,193
2019-12-10T00:00:00.000Z,0.5,2.17,1,0.8,1.3,0.323,249
2019-12-11T00:00:00.000Z,1,3.17,1.8,1.43,2.25,0.503,259
2019-12-12T00:00:00.000Z,1.93,6.17,3.7,3.17,4.53,0.916,267
2019-12-13T00:00:00.000Z,2.6,8.69,4.26,3.7,4.7,0.725,285
2019-12-14T00:00:00.000Z,0.2,7.87,1.7,0.7,2.29,1.259,203
2019-12-15T00:00:00.000Z,0.9,7.8,2.8,1.7,3.95,1.386,285
2019-12-16T00:00:00.000Z,2.9,6.9,4.23,3.8,5,0.808,145
2019-12-17T00:00:00.000Z,2.93,6.8,4.51,4.03,5.13,0.769,148
2019-12-18T00:00:00.000Z,2.2,9.9,5.2,3.23,6.4,1.818,237
2019-12-19T00:00:00.000Z,1.7,8.57,4.7,2.67,5.63,1.629,285
2019-12-20T00:00:00.000Z,0.2,10.33,2.15,1.1,7.2,3.091,288
2019-12-21T00:00:00.000Z,0.2,3.3,1.1,0.77,1.5,0.578,284
2019-12-22T00:00:00.000Z,0.7,3.3,1.6,1.29,1.99,0.49,285
2019-12-23T00:00:00.000Z,0.2,2.57,0.56,0.5,0.7,0.446,287
2019-12-24T00:00:00.000Z,0.2,4,0.7,0.56,0.9,0.608,291
2019-12-25T00:00:00.000Z,0.3,1.8,0.6,0.5,0.73,0.192,292
2019-12-26T00:00:00.000Z,0.4,2.29,0.73,0.6,1.39,0.478,289
2019-12-27T00:00:00.000Z,0.6,2.27,1.23,1.05,1.47,0.328,287
2019-12-28T00:00:00.000Z,0.3,1.83,0.87,0.6,1.07,0.3,287
2019-12-29T00:00:00.000Z,0.5,3.33,1.2,0.8,1.72,0.634,297
2019-12-30T00:00:00.000Z,1.77,4.67,3.07,2.67,3.53,0.547,186
2020-01-03T00:00:00.000Z,4.09,13.3,11.13,9.43,12.42,2.102,35
2020-01-04T00:00:00.000Z,0.33,4.93,1,0.77,1.27,0.552,291
2020-01-05T00:00:00.000Z,0.3,1.97,0.7,0.5,1,0.333,289
2020-01-06T00:00:00.000Z,0.8,6.33,1.53,1.2,2.23,0.976,282
2020-01-07T00:00:00.000Z,2.02,7.47,3.55,2.93,4.76,1.236,278
2020-01-08T00:00:00.000Z,1.1,9.8,3,2.09,6.85,2.561,284
2020-01-09T00:00:00.000Z,6.43,12.43,8.69,8.07,9.68,1.146,285
2020-01-10T00:00:00.000Z,5.87,16.53,11.9,10.95,13.13,1.647,267
2020-01-11T00:00:00.000Z,0.37,3.1,1.2,0.8,1.7,0.62,277
2020-01-12T00:00:00.000Z,1,6.33,2.37,1.8,3.5,1.266,288
2020-01-13T00:00:00.000Z,2.29,8.83,4.9,3.5,7.03,1.842,279
2020-01-14T00:00:00.000Z,3.23,8.73,5.63,5,6.6,1.109,262
2020-01-15T00:00:00.000Z,3,8.67,5.25,4.47,6.29,1.165,276
2020-01-16T00:00:00.000Z,5.4,9.73,7.3,6.7,7.83,0.824,276
2020-01-17T00:00:00.000Z,3.3,10.4,5.09,4.63,7.03,1.462,264
2020-01-18T00:00:00.000Z,2.29,6.9,3.73,3.37,4.25,0.816,268
2020-01-19T00:00:00.000Z,1.07,8.75,2.67,2.13,3.22,0.943,254
2020-01-20T00:00:00.000Z,1.07,6.57,3.23,2.33,4.9,1.492,203
2020-01-21T00:00:00.000Z,2.57,9.69,6.27,4.38,7.12,1.558,265
2020-01-22T00:00:00.000Z,5.9,7.13,6.52,6.2,7.06,0.454,6
2020-01-23T00:00:00.000Z,2,5.33,3.47,3.03,4.03,0.744,71
2020-01-24T00:00:00.000Z,5.09,24.47,7.53,6.83,8.36,1.694,210
2020-01-25T00:00:00.000Z,4.3,11.67,7.07,6,8.23,1.46,237
2020-01-26T00:00:00.000Z,3.47,8.97,5.09,4.53,5.77,1.094,238
2020-01-27T00:00:00.000Z,3.13,7.07,4.69,4.1,5.5,0.919,210
2020-01-28T00:00:00.000Z,0.3,5.93,4.03,0.7,4.57,1.83,211
2020-01-29T00:00:00.000Z,0.2,1.37,0.5,0.4,0.73,0.23,229
2020-01-30T00:00:00.000Z,0.3,4.26,0.9,0.7,1.77,0.941,220
2020-01-31T00:00:00.000Z,0.1,2.4,0.5,0.4,0.8,0.46,222
2020-02-01T00:00:00.000Z,0.15,4.7,0.5,0.3,0.9,0.898,241
2020-02-02T00:00:00.000Z,0.1,1.4,0.3,0.2,0.4,0.205,234
2020-02-03T00:00:00.000Z,0.1,1.07,0.3,0.2,0.4,0.126,238
2020-02-04T00:00:00.000Z,0.1,3.53,0.5,0.23,0.7,0.408,206
2020-02-05T00:00:00.000Z,0.2,1.1,0.6,0.4,0.77,0.203,190
2020-02-06T00:00:00.000Z,0.5,3.83,1.17,0.8,1.6,0.51,194
2020-02-07T00:00:00.000Z,1.3,4.9,2.4,2.1,2.83,0.633,166
2020-02-08T00:00:00.000Z,2.3,4.09,3.17,2.7,3.43,0.46,99
2020-02-09T00:00:00.000Z,3,25.5,4.76,4.05,5.44,2.357,236
2020-02-10T00:00:00.000Z,0.22,9.32,1.1,0.6,3.9,1.938,226
2020-02-11T00:00:00.000Z,0.1,1,0.43,0.3,0.52,0.177,228
2020-02-12T00:00:00.000Z,0.2,1,0.5,0.4,0.6,0.155,227
2020-02-13T00:00:00.000Z,0.2,6.78,0.87,0.5,2.37,1.228,249
2020-02-14T00:00:00.000Z,0.13,2.6,0.68,0.4,0.97,0.395,250
2020-02-15T00:00:00.000Z,0.77,22.42,1.7,1.27,2.1,1.646,210
2020-02-16T00:00:00.000Z,1.55,6.25,2.57,2.25,2.9,0.62,252
2020-02-17T00:00:00.000Z,2.43,10.05,4.05,3.37,4.8,1.089,246
2020-02-18T00:00:00.000Z,0.17,2.7,0.6,0.4,0.87,0.382,217
2020-02-19T00:00:00.000Z,0.2,2.4,0.7,0.53,0.9,0.295,263
2020-02-20T00:00:00.000Z,0.32,2.35,0.98,0.75,1.2,0.385,277
2020-02-21T00:00:00.000Z,0.2,3.63,0.7,0.5,1.1,0.565,246
2020-02-22T00:00:00.000Z,0.3,4.59,1,0.7,1.59,0.808,257
2020-02-23T00:00:00.000Z,0.15,1.58,0.5,0.4,0.6,0.196,242
2020-02-24T00:00:00.000Z,0.1,3.17,0.47,0.3,0.8,0.538,269
2020-02-25T00:00:00.000Z,0.3,4.3,0.82,0.65,1.12,0.547,264
2020-02-26T00:00:00.000Z,0.2,0.73,0.4,0.3,0.5,0.121,219
2020-02-27T00:00:00.000Z,0.2,1.73,0.87,0.7,1.1,0.272,277
2020-02-28T00:00:00.000Z,0.1,2.6,0.8,0.53,1.12,0.422,277
2020-02-29T00:00:00.000Z,0.47,2.43,1.15,0.93,1.46,0.391,284
2020-03-01T00:00:00.000Z,1,30.3,2,1.7,2.33,1.782,284
2020-03-02T00:00:00.000Z,0.1,1.93,0.49,0.3,0.9,0.375,256
2020-03-03T00:00:00.000Z,0.2,1.97,0.8,0.3,1.2,0.47,209
2020-03-04T00:00:00.000Z,0.37,2.63,1.4,0.9,1.77,0.551,283
2020-03-05T00:00:00.000Z,0.35,2.33,1.1,0.9,1.46,0.389,285
2020-03-06T00:00:00.000Z,0.4,2.62,1,0.7,1.27,0.371,281
2020-03-07T00:00:00.000Z,0.4,4.22,1.59,1,2.06,0.674,284
2020-03-08T00:00:00.000Z,0.87,27.8,1.92,1.6,2.46,2.586,284
2020-03-09T00:00:00.000Z,0.6,3.6,2.2,1.67,2.58,0.643,285
2020-03-10T00:00:00.000Z,0.1,8.82,0.6,0.4,2.02,1.06,284
2020-03-11T00:00:00.000Z,0.1,1.05,0.32,0.28,0.5,0.204,284
2020-03-12T00:00:00.000Z,0.2,17,0.52,0.4,0.7,1.425,268
2020-03-13T00:00:00.000Z,0.2,3.25,0.54,0.4,0.73,0.366,272
2020-03-14T00:00:00.000Z,0.37,3.58,0.9,0.65,1.54,0.622,268
2020-03-15T00:00:00.000Z,0.7,3.87,1.5,1.19,1.74,0.526,144
2020-03-16T00:00:00.000Z,0.7,4.93,1.8,1.2,2.31,0.849,284
2020-03-17T00:00:00.000Z,1.7,7.15,3.1,2.58,4.22,1.189,283
2020-03-18T00:00:00.000Z,1.92,8.63,3.7,2.87,4.8,1.161,261
2020-03-19T00:00:00.000Z,1.7,7.65,4.05,3.4,5.01,1.231,280
2020-03-20T00:00:00.000Z,2.62,9.18,4.63,3.78,6.2,1.637,246
2020-03-21T00:00:00.000Z,1,12.68,1.97,1.52,2.75,3.042,257
2020-03-22T00:00:00.000Z,0.7,2.45,1.2,1.07,1.33,0.213,247
2020-03-23T00:00:00.000Z,0.9,3.2,1.93,1.4,2.5,0.601,251
2020-03-24T00:00:00.000Z,1.87,5.9,3.54,2.7,4.37,0.953,254
2020-03-25T00:00:00.000Z,2,4.3,2.9,2.63,3.2,0.407,250
2020-03-26T00:00:00.000Z,1.58,7.22,3.47,2.79,4,1.249,241
2020-03-27T00:00:00.000Z,1.73,77.18,3.6,2.65,4.63,5.524,227
2020-03-28T00:00:00.000Z,1.67,9.13,3.85,2.72,4.7,1.772,99
2020-03-29T00:00:00.000Z,1.14,11.5,3.17,2,8.65,3.456,200
2020-03-30T00:00:00.000Z,0.6,2.1,0.9,0.8,1.1,0.341,79
2020-03-31T00:00:00.000Z,0.9,2.7,1.5,1.29,1.77,0.406,185
2020-04-01T00:00:00.000Z,1.67,4.03,2.79,2.5,3,0.471,118
2020-04-02T00:00:00.000Z,1.6,5.05,2.95,2.47,3.45,0.769,260
2020-04-03T00:00:00.000Z,1.6,15.8,3.51,2.79,4.62,1.43,256
2020-04-04T00:00:00.000Z,1.7,6.3,3.73,3.03,4.47,0.983,271
2020-04-05T00:00:00.000Z,1.2,6.35,2.97,2.2,3.6,0.98,276
2020-04-06T00:00:00.000Z,1.9,5.09,3.37,3,3.87,0.64,259
2020-04-07T00:00:00.000Z,1.1,5.09,1.85,1.58,2.1,0.429,256
2020-04-08T00:00:00.000Z,0.85,19.14,2.37,1.8,3,1.488,263
2020-04-09T00:00:00.000Z,1.23,4.75,2.75,2.2,3.14,0.669,249
2020-04-10T00:00:00.000Z,0.5,4.72,1.2,0.82,2.17,0.967,265
2020-04-11T00:00:00.000Z,1.2,4,2.2,1.77,2.6,0.594,78
2020-04-12T00:00:00.000Z,1.1,8.38,2.27,1.85,3.03,0.822,286
